"bedrock","zs","zb","depth","height","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
-483.04,0,0,135.23,135.23,1285.5,0.066056,0,1.159e+06,-108.18,0
-488.75,0,0,134.11,134.11,1302.4,0.055085,0,1.1645e+06,-107.29,0
-494.67,0,0,133.02,133.02,1319.5,0.044669,0,1.1702e+06,-106.42,0
-500.82,0,0,131.96,131.96,1336.8,0.034776,0,1.1761e+06,-105.57,0
-507.21,0,0,130.93,130.93,1354.4,0.025375,0,1.1823e+06,-104.75,0
-513.85,0,0,129.93,129.93,1372.2,0.016438,0,1.1887e+06,-103.95,0
-520.74,0,0,128.96,128.96,1390.3,0.0079404,0,1.1953e+06,-103.17,0
-527.9,0,0,128.01,128.01,1408.7,-0.00014275,0,1.2022e+06,-102.41,0
-535.34,0,0,127.09,127.09,1427.3,-0.0078336,0,1.2094e+06,-101.67,0
-543.06,0,0,126.19,126.19,1446.3,-0.015153,0,1.2168e+06,-100.95,0
-551.08,0,0,125.32,125.32,1465.6,-0.02212,0,1.2246e+06,-100.26,0
-559.42,0,0,124.47,124.47,1485.3,-0.028754,0,1.2326e+06,-99.578,0
-568.07,0,0,123.65,123.65,1505.3,-0.035071,0,1.2409e+06,-98.92,0
-577.06,0,0,122.85,122.85,1525.6,-0.041087,0,1.2496e+06,-98.281,0
-586.4,0,0,122.07,122.07,1546.4,-0.046817,0,1.2586e+06,-97.66,0
-596.09,0,0,121.32,121.32,1567.6,-0.052275,0,1.2679e+06,-97.057,0
-606.17,0,0,120.59,120.59,1589.1,-0.057474,0,1.2776e+06,-96.472,0
-616.63,0,0,119.88,119.88,1611.1,-0.062427,0,1.2877e+06,-95.905,0
-627.49,0,0,119.19,119.19,1633.6,-0.067146,0,1.2982e+06,-95.355,0
-638.78,0,0,118.53,118.53,1656.5,-0.07164,0,1.309e+06,-94.823,0
-650.5,0,0,117.88,117.88,1680,-0.075922,0,1.3203e+06,-94.307,0
-662.67,0,0,117.26,117.26,1703.9,-0.079999,0,1.3321e+06,-93.807,0
-675.32,0,0,116.66,116.66,1728.4,-0.083882,0,1.3442e+06,-93.324,0
-688.45,0,0,116.07,116.07,1753.4,-0.08758,0,1.3569e+06,-92.857,0
-702.1,0,0,115.51,115.51,1779.1,-0.0911,0,1.37e+06,-92.406,0
-716.26,0,0,114.96,114.96,1805.3,-0.094451,0,1.3837e+06,-91.97,0
-730.98,0,0,114.44,114.44,1832.2,-0.09764,0,1.3979e+06,-91.55,0
-746.27,0,0,113.93,113.93,1859.7,-0.10067,0,1.4126e+06,-91.144,0
-762.14,0,0,113.44,113.44,1888,-0.10356,0,1.4279e+06,-90.753,0
-778.63,0,0,112.97,112.97,1916.9,-0.1063,0,1.4438e+06,-90.377,0
